"","X","img","title","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"36528",37097,"/games/boxart/full_1495618AmericaFrontccc.jpg","Tales of Destiny II","PS","Role-Playing","Namco","Telenet Japan / Wolfteam",7.5,0.81,0.06,0.66,0.04,0.05,"9/10/2001"
"36532",37101,"/games/boxart/full_golden-sun-dark-dawn_3AmericaFront.jpg","Golden Sun: Dark Dawn","DS","Role-Playing","Nintendo","Camelot Software Planning",8,0.81,0.53,0.13,0.1,0.05,"11/29/2010"
"36538",37107,"/games/boxart/full_668697AmericaFrontccc.jpg","Star Ocean: The Last Hope","X360","Role-Playing","Square Enix","tri-Ace",7.3,0.79,0.32,0.21,0.2,0.06,"2/24/2009"
"36539",37108,"/games/boxart/9145275ccc.jpg","Too Human","X360","Role-Playing","Microsoft Game Studios","Silicon Knights",6.5,0.78,0.38,0.03,0.3,0.08,"8/19/2008"
"36540",37109,"/games/boxart/9231423ccc.jpg","The World Ends With You","DS","Role-Playing","Square Enix","Square Enix",8.6,0.78,0.49,0.21,0.04,0.04,"4/21/2008"
"36546",37115,"/games/boxart/8515168ccc.jpg","Unlimited Saga","PS2","Role-Playing","Square Enix","SquareSoft",4.9,0.77,0.1,0.56,0.08,0.03,"6/17/2003"
"36551",37120,"/games/boxart/full_8240602AmericaFrontccc.jpg","Fire Emblem Echoes: Shadows of Valentia","3DS","Role-Playing","Nintendo","Intelligent Systems",8.3,0.75,0.34,0.21,0.16,0.05,"5/19/2017"
"36552",37121,"/games/boxart/full_6954411AmericaFrontccc.jpg","Final Fantasy Tactics A2: Grimoire of the Rift","DS","Role-Playing","Square Enix","Square Enix",8.1,0.75,0.38,0.3,0.03,0.04,"6/24/2008"
"36555",37124,"/games/boxart/full_3291823AmericaFrontccc.jpg","Tales of Vesperia","X360","Role-Playing","Namco Bandai","Namco Tales Studio",8.1,0.74,0.32,0.19,0.18,0.05,"8/26/2008"
"36556",37125,"/games/boxart/full_4667474AmericaFrontccc.jpg","Resonance of Fate","PS3","Role-Playing","Sega","tri-Ace",7.5,0.74,0.2,0.24,0.22,0.08,"3/16/2010"
"36561",37130,"/games/boxart/full_1874262AmericaFrontccc.png","Star Ocean: The Last Hope International","PS3","Role-Playing","Square Enix","tri-Ace",8.1,0.73,0.28,0.22,0.15,0.07,"2/9/2010"
"36565",37134,"/games/boxart/full_5104199AmericaFrontccc.jpg","Monster Hunter 3 Ultimate","WiiU","Role-Playing","Capcom","Capcom",8.7,0.71,0.24,0.22,0.2,0.04,"3/19/2013"
"36571",37140,"/games/boxart/501429ccc.jpg","Infinite Undiscovery","X360","Role-Playing","Square Enix","tri-Ace",6.8,0.7,0.34,0.12,0.18,0.06,"9/2/2008"
"36576",37145,"/games/boxart/full_8124351AmericaFrontccc.jpg","Chocobo's Dungeon 2","PS","Role-Playing","Square EA","SquareSoft",6.2,0.7,0.04,0.58,0.03,0.05,"11/30/1999"
"36577",37146,"/games/boxart/full_8066901AmericaFrontccc.jpg","Monster Hunter Stories","3DS","Role-Playing","Capcom","Marvelous",8.1,0.7,0.14,0.39,0.15,0.03,"9/8/2017"
